Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,Time,,,
Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.7,0.76,1.4,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.89,0.71,0.92,1.39,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.82,0.71,0.82,1.39,0.1
Discords,3,20,20,1,2,False,0.3,True,20,0.93,0.71,0.77,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.81,0.91,2.18,1.4,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.79,0.89,2.06,1.38,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.86,0.89,1.11,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.88,0.89,1.42,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.91,0.89,1.27,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.95,0.89,1.17,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.79,0.92,1.09,1.41,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.94,0.89,1.21,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.9,0.89,2.17,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.88,0.89,1.34,1.38,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.89,0.89,1.31,1.39,0.1
Discords,3,20,20,1,2,False,0.4,True,20,0.89,0.89,1.34,1.4,0.1
Discords,3,20,20,1,2,False,0.6,True,20,0.85,1.32,2.81,2.55,0.11
Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.31,1.88,1.38,0.1
Discords,3,20,20,1,2,False,0.6,True,20,0.92,1.3,3.44,3.69,0.11
Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.3,1.81,1.38,0.1
Discords,3,20,20,1,2,False,0.6,True,20,0.88,1.39,3.62,3.97,0.12
Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.32,2.87,2.59,0.11
Discords,3,20,20,1,2,False,0.6,True,20,0.93,1.33,2.82,2.59,0.11
Discords,3,20,20,1,2,False,0.6,True,20,0.88,1.32,2.65,2.71,0.11
Discords,3,20,20,1,2,False,0.7,True,20,0.93,1.54,3.25,2.6,0.11
Discords,3,20,20,1,2,False,0.7,True,20,0.91,1.55,3.17,2.6,0.11
Discords,3,20,20,1,2,False,0.7,True,20,0.86,1.51,3.06,2.8,0.11
Discords,3,20,20,1,2,False,0.8,True,20,0.92,1.78,3.74,2.59,0.11
Discords,3,20,20,1,2,False,0.8,True,20,0.88,1.73,3.45,2.6,0.11
Discords,3,20,20,1,2,False,0.9,True,20,0.89,2.11,4.18,2.6,0.11
Discords,3,20,20,1,2,False,0.9,True,20,0.95,1.94,5.19,3.77,0.11
