Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,PreProcessingTrain Time,Train Time,PreProcessingTest Time,Prediction Time
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.67,0.41,0.3,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.69,0.43,0.38,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.67,0.41,0.34,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.1,True,20,0.66,0.41,0.33,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.6,1.06,1.02,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.67,1.02,0.88,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.66,1.02,1.06,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.66,1.03,0.98,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.68,1.02,1.02,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.74,1.03,0.9,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.75,1.04,0.94,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.2,True,20,0.68,1.02,0.89,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.56,1.51,2.43,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.66,1.47,2.23,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.75,1.46,2.53,0.29,0.02
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.63,1.46,1.52,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.69,1.46,1.6,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.76,1.47,3.44,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.3,True,20,0.67,1.51,1.66,0.16,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.67,1.97,3.15,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.69,1.94,4.33,0.44,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.6,1.93,3.09,0.3,0.01
